Source Type,Underlying,Tenor Swap,Tenor Option,Tenor Swap Order,Tenor Option Order,Current
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,0,0,0.24404
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1Y,0,1,0.250405
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 2Y,0,2,0.157204
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,1,0,0.173671
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1Y,1,1,0.240411
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 2Y,1,2,0.167334
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 6M,2,0,0.33254
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1Y,2,1,0.185218
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 2Y,2,2,0.042685
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 20Y,FAKE_REPLACE_ME - 6M,3,0,0.332215
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 20Y,FAKE_REPLACE_ME - 1Y,3,1,0.089707
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 20Y,FAKE_REPLACE_ME - 2Y,3,2,0.066809
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 30Y,FAKE_REPLACE_ME - 6M,4,0,0.323214
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 30Y,FAKE_REPLACE_ME - 1Y,4,1,0.25084
ir/inflationvega,FAKE_REPLACE_ME - US CPI Vol,FAKE_REPLACE_ME - 30Y,FAKE_REPLACE_ME - 2Y,4,2,0.176792
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,0,0,0.335726
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1Y,0,1,0.091528
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 2Y,0,2,0.329424
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,1,0,0.317648
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1Y,1,1,0.129967
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 2Y,1,2,0.301286
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 6M,2,0,0.09414
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1Y,2,1,0.161181
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 2Y,2,2,0.257769
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 20Y,FAKE_REPLACE_ME - 6M,3,0,0.257976
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 20Y,FAKE_REPLACE_ME - 1Y,3,1,0.061278
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 20Y,FAKE_REPLACE_ME - 2Y,3,2,0.172817
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 30Y,FAKE_REPLACE_ME - 6M,4,0,0.292543
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 30Y,FAKE_REPLACE_ME - 1Y,4,1,0.156911
ir/inflationvega,FAKE_REPLACE_ME - EU HICP Vol,FAKE_REPLACE_ME - 30Y,FAKE_REPLACE_ME - 2Y,4,2,0.104169
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,0,0,0.311071
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1Y,0,1,0.099678
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 2Y,0,2,0.110561
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,1,0,0.189301
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1Y,1,1,0.240782
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 2Y,1,2,0.300958
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 6M,2,0,0.35382
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1Y,2,1,0.347001
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 2Y,2,2,0.100364
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 20Y,FAKE_REPLACE_ME - 6M,3,0,0.270876
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 20Y,FAKE_REPLACE_ME - 1Y,3,1,0.230568
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 20Y,FAKE_REPLACE_ME - 2Y,3,2,0.100035
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 30Y,FAKE_REPLACE_ME - 6M,4,0,0.337068
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 30Y,FAKE_REPLACE_ME - 1Y,4,1,0.19029
ir/inflationvega,FAKE_REPLACE_ME - UK RPI Vol,FAKE_REPLACE_ME - 30Y,FAKE_REPLACE_ME - 2Y,4,2,0.291924
ir/basis,FAKE_REPLACE_ME - USD 3M/6M,FAKE_REPLACE_ME - 3M,,0,,0.037198
ir/basis,FAKE_REPLACE_ME - USD 3M/6M,FAKE_REPLACE_ME - 6M,,1,,0.045128
ir/basis,FAKE_REPLACE_ME - USD 3M/6M,FAKE_REPLACE_ME - 1Y,,2,,0.024024
ir/basis,FAKE_REPLACE_ME - USD 3M/6M,FAKE_REPLACE_ME - 2Y,,3,,0.00835
ir/basis,FAKE_REPLACE_ME - USD 3M/6M,FAKE_REPLACE_ME - 5Y,,4,,0.040155
ir/basis,FAKE_REPLACE_ME - EUR 3M/6M,FAKE_REPLACE_ME - 3M,,0,,0.043661
ir/basis,FAKE_REPLACE_ME - EUR 3M/6M,FAKE_REPLACE_ME - 6M,,1,,0.018399
ir/basis,FAKE_REPLACE_ME - EUR 3M/6M,FAKE_REPLACE_ME - 1Y,,2,,0.072933
ir/basis,FAKE_REPLACE_ME - EUR 3M/6M,FAKE_REPLACE_ME - 2Y,,3,,0.029237
ir/basis,FAKE_REPLACE_ME - EUR 3M/6M,FAKE_REPLACE_ME - 5Y,,4,,0.047396
ir/basis,FAKE_REPLACE_ME - GBP 3M/6M,FAKE_REPLACE_ME - 3M,,0,,0.040885
ir/basis,FAKE_REPLACE_ME - GBP 3M/6M,FAKE_REPLACE_ME - 6M,,1,,0.057737
ir/basis,FAKE_REPLACE_ME - GBP 3M/6M,FAKE_REPLACE_ME - 1Y,,2,,0.052958
ir/basis,FAKE_REPLACE_ME - GBP 3M/6M,FAKE_REPLACE_ME - 2Y,,3,,0.046815
ir/basis,FAKE_REPLACE_ME - GBP 3M/6M,FAKE_REPLACE_ME - 5Y,,4,,0.026517
ir/bond,FAKE_REPLACE_ME - UST,FAKE_REPLACE_ME - 2Y,,0,,0.053122
ir/bond,FAKE_REPLACE_ME - UST,FAKE_REPLACE_ME - 5Y,,1,,0.066857
ir/bond,FAKE_REPLACE_ME - UST,FAKE_REPLACE_ME - 10Y,,2,,0.062129
ir/bond,FAKE_REPLACE_ME - UST,FAKE_REPLACE_ME - 30Y,,3,,0.025487
ir/bond,FAKE_REPLACE_ME - Bund,FAKE_REPLACE_ME - 2Y,,0,,0.053784
ir/bond,FAKE_REPLACE_ME - Bund,FAKE_REPLACE_ME - 5Y,,1,,0.02042
ir/bond,FAKE_REPLACE_ME - Bund,FAKE_REPLACE_ME - 10Y,,2,,0.009344
ir/bond,FAKE_REPLACE_ME - Bund,FAKE_REPLACE_ME - 30Y,,3,,0.008868
ir/bond,FAKE_REPLACE_ME - Gilt,FAKE_REPLACE_ME - 2Y,,0,,0.02166
ir/bond,FAKE_REPLACE_ME - Gilt,FAKE_REPLACE_ME - 5Y,,1,,0.04113
ir/bond,FAKE_REPLACE_ME - Gilt,FAKE_REPLACE_ME - 10Y,,2,,0.036935
ir/bond,FAKE_REPLACE_ME - Gilt,FAKE_REPLACE_ME - 30Y,,3,,0.063179
credit/delta,FAKE_REPLACE_ME - CDX IG,FAKE_REPLACE_ME - 1Y,,0,,240.156
credit/delta,FAKE_REPLACE_ME - CDX IG,FAKE_REPLACE_ME - 3Y,,1,,219.36
credit/delta,FAKE_REPLACE_ME - CDX IG,FAKE_REPLACE_ME - 5Y,,2,,55.02
credit/delta,FAKE_REPLACE_ME - CDX IG,FAKE_REPLACE_ME - 7Y,,3,,258.62
credit/delta,FAKE_REPLACE_ME - CDX IG,FAKE_REPLACE_ME - 10Y,,4,,434.2
credit/delta,FAKE_REPLACE_ME - iTraxx Main,FAKE_REPLACE_ME - 1Y,,0,,196.692
credit/delta,FAKE_REPLACE_ME - iTraxx Main,FAKE_REPLACE_ME - 3Y,,1,,39.348
credit/delta,FAKE_REPLACE_ME - iTraxx Main,FAKE_REPLACE_ME - 5Y,,2,,325.1
credit/delta,FAKE_REPLACE_ME - iTraxx Main,FAKE_REPLACE_ME - 7Y,,3,,332.776
credit/delta,FAKE_REPLACE_ME - iTraxx Main,FAKE_REPLACE_ME - 10Y,,4,,375.628
credit/delta,FAKE_REPLACE_ME - Ford CDS,FAKE_REPLACE_ME - 1Y,,0,,99.888
credit/delta,FAKE_REPLACE_ME - Ford CDS,FAKE_REPLACE_ME - 3Y,,1,,251.428
credit/delta,FAKE_REPLACE_ME - Ford CDS,FAKE_REPLACE_ME - 5Y,,2,,415.988
credit/delta,FAKE_REPLACE_ME - Ford CDS,FAKE_REPLACE_ME - 7Y,,3,,347.74
credit/delta,FAKE_REPLACE_ME - Ford CDS,FAKE_REPLACE_ME - 10Y,,4,,356.64
credit/vega,FAKE_REPLACE_ME - CDX IG Vol,FAKE_REPLACE_ME - 1M,,0,,415.136
credit/vega,FAKE_REPLACE_ME - CDX IG Vol,FAKE_REPLACE_ME - 3M,,1,,337.496
credit/vega,FAKE_REPLACE_ME - CDX IG Vol,FAKE_REPLACE_ME - 6M,,2,,134.144
credit/vega,FAKE_REPLACE_ME - CDX IG Vol,FAKE_REPLACE_ME - 1Y,,3,,151.988
credit/vega,FAKE_REPLACE_ME - iTraxx Main Vol,FAKE_REPLACE_ME - 1M,,0,,241.836
credit/vega,FAKE_REPLACE_ME - iTraxx Main Vol,FAKE_REPLACE_ME - 3M,,1,,316.044
credit/vega,FAKE_REPLACE_ME - iTraxx Main Vol,FAKE_REPLACE_ME - 6M,,2,,382.656
credit/vega,FAKE_REPLACE_ME - iTraxx Main Vol,FAKE_REPLACE_ME - 1Y,,3,,366.456
credit/vega,FAKE_REPLACE_ME - Ford CDS Vol,FAKE_REPLACE_ME - 1M,,0,,184.584
credit/vega,FAKE_REPLACE_ME - Ford CDS Vol,FAKE_REPLACE_ME - 3M,,1,,316.692
credit/vega,FAKE_REPLACE_ME - Ford CDS Vol,FAKE_REPLACE_ME - 6M,,2,,333.216
credit/vega,FAKE_REPLACE_ME - Ford CDS Vol,FAKE_REPLACE_ME - 1Y,,3,,49.792
commo/delta,FAKE_REPLACE_ME - Brent,FAKE_REPLACE_ME - 1M,,0,,80.96625
commo/delta,FAKE_REPLACE_ME - Brent,FAKE_REPLACE_ME - 3M,,1,,66.77875
commo/delta,FAKE_REPLACE_ME - Brent,FAKE_REPLACE_ME - 6M,,2,,142.24875
commo/delta,FAKE_REPLACE_ME - Brent,FAKE_REPLACE_ME - 1Y,,3,,93.0375
commo/delta,FAKE_REPLACE_ME - Gold,FAKE_REPLACE_ME - 1M,,0,,32.5675
commo/delta,FAKE_REPLACE_ME - Gold,FAKE_REPLACE_ME - 3M,,1,,108.34625
commo/delta,FAKE_REPLACE_ME - Gold,FAKE_REPLACE_ME - 6M,,2,,67.30625
commo/delta,FAKE_REPLACE_ME - Gold,FAKE_REPLACE_ME - 1Y,,3,,105.5475
commo/delta,FAKE_REPLACE_ME - TTF Gas,FAKE_REPLACE_ME - 1M,,0,,120.2825
commo/delta,FAKE_REPLACE_ME - TTF Gas,FAKE_REPLACE_ME - 3M,,1,,56.59875
commo/delta,FAKE_REPLACE_ME - TTF Gas,FAKE_REPLACE_ME - 6M,,2,,124.0025
commo/delta,FAKE_REPLACE_ME - TTF Gas,FAKE_REPLACE_ME - 1Y,,3,,32.8025
commo/vega,FAKE_REPLACE_ME - Brent Vol,FAKE_REPLACE_ME - 1M,,0,,0.193501
commo/vega,FAKE_REPLACE_ME - Brent Vol,FAKE_REPLACE_ME - 3M,,1,,0.106873
commo/vega,FAKE_REPLACE_ME - Brent Vol,FAKE_REPLACE_ME - 6M,,2,,0.143538
commo/vega,FAKE_REPLACE_ME - Brent Vol,FAKE_REPLACE_ME - 1Y,,3,,0.051717
commo/vega,FAKE_REPLACE_ME - Gold Vol,FAKE_REPLACE_ME - 1M,,0,,0.133716
commo/vega,FAKE_REPLACE_ME - Gold Vol,FAKE_REPLACE_ME - 3M,,1,,0.271642
commo/vega,FAKE_REPLACE_ME - Gold Vol,FAKE_REPLACE_ME - 6M,,2,,0.254665
commo/vega,FAKE_REPLACE_ME - Gold Vol,FAKE_REPLACE_ME - 1Y,,3,,0.0694
commo/vega,FAKE_REPLACE_ME - TTF Gas Vol,FAKE_REPLACE_ME - 1M,,0,,0.19182
commo/vega,FAKE_REPLACE_ME - TTF Gas Vol,FAKE_REPLACE_ME - 3M,,1,,0.315167
commo/vega,FAKE_REPLACE_ME - TTF Gas Vol,FAKE_REPLACE_ME - 6M,,2,,0.327651
commo/vega,FAKE_REPLACE_ME - TTF Gas Vol,FAKE_REPLACE_ME - 1Y,,3,,0.294505
