Source Type,Underlying,Tenor Swap,Tenor Option,Tenor Swap Order,Tenor Option Order,Open
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 6M,0,0,0.23804
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 1Y,0,1,0.258905
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 2Y,0,2,0.149204
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 6M,1,0,0.176171
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1Y,1,1,0.239411
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 2Y,1,2,0.161834
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 6M,2,0,0.33554
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1Y,2,1,0.174218
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 2Y,2,2,0.052685
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 20Y,TEMP_REPLACE_ME - 6M,3,0,0.342215
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 20Y,TEMP_REPLACE_ME - 1Y,3,1,0.084707
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 20Y,TEMP_REPLACE_ME - 2Y,3,2,0.074309
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 6M,4,0,0.331214
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 1Y,4,1,0.24734
ir/inflationvega,TEMP_REPLACE_ME - US CPI Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 2Y,4,2,0.166292
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 6M,0,0,0.334226
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 1Y,0,1,0.101528
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 2Y,0,2,0.323924
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 6M,1,0,0.322148
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1Y,1,1,0.130967
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 2Y,1,2,0.292286
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 6M,2,0,0.10214
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1Y,2,1,0.163181
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 2Y,2,2,0.252269
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 20Y,TEMP_REPLACE_ME - 6M,3,0,0.270476
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 20Y,TEMP_REPLACE_ME - 1Y,3,1,0.061778
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 20Y,TEMP_REPLACE_ME - 2Y,3,2,0.168317
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 6M,4,0,0.286043
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 1Y,4,1,0.168911
ir/inflationvega,TEMP_REPLACE_ME - EU HICP Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 2Y,4,2,0.113669
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 6M,0,0,0.301571
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 1Y,0,1,0.089678
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 2Y,0,2,0.100061
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 6M,1,0,0.193301
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1Y,1,1,0.228782
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 2Y,1,2,0.289958
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 6M,2,0,0.34382
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1Y,2,1,0.349001
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 2Y,2,2,0.091364
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 20Y,TEMP_REPLACE_ME - 6M,3,0,0.283376
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 20Y,TEMP_REPLACE_ME - 1Y,3,1,0.237068
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 20Y,TEMP_REPLACE_ME - 2Y,3,2,0.105035
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 6M,4,0,0.345068
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 1Y,4,1,0.20279
ir/inflationvega,TEMP_REPLACE_ME - UK RPI Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 2Y,4,2,0.304424
ir/basis,TEMP_REPLACE_ME - USD 3M/6M,TEMP_REPLACE_ME - 3M,,0,,0.036898
ir/basis,TEMP_REPLACE_ME - USD 3M/6M,TEMP_REPLACE_ME - 6M,,1,,0.046378
ir/basis,TEMP_REPLACE_ME - USD 3M/6M,TEMP_REPLACE_ME - 1Y,,2,,0.023474
ir/basis,TEMP_REPLACE_ME - USD 3M/6M,TEMP_REPLACE_ME - 2Y,,3,,0.00885
ir/basis,TEMP_REPLACE_ME - USD 3M/6M,TEMP_REPLACE_ME - 5Y,,4,,0.040055
ir/basis,TEMP_REPLACE_ME - EUR 3M/6M,TEMP_REPLACE_ME - 3M,,0,,0.044811
ir/basis,TEMP_REPLACE_ME - EUR 3M/6M,TEMP_REPLACE_ME - 6M,,1,,0.019199
ir/basis,TEMP_REPLACE_ME - EUR 3M/6M,TEMP_REPLACE_ME - 1Y,,2,,0.073533
ir/basis,TEMP_REPLACE_ME - EUR 3M/6M,TEMP_REPLACE_ME - 2Y,,3,,0.029087
ir/basis,TEMP_REPLACE_ME - EUR 3M/6M,TEMP_REPLACE_ME - 5Y,,4,,0.046746
ir/basis,TEMP_REPLACE_ME - GBP 3M/6M,TEMP_REPLACE_ME - 3M,,0,,0.039735
ir/basis,TEMP_REPLACE_ME - GBP 3M/6M,TEMP_REPLACE_ME - 6M,,1,,0.056537
ir/basis,TEMP_REPLACE_ME - GBP 3M/6M,TEMP_REPLACE_ME - 1Y,,2,,0.052458
ir/basis,TEMP_REPLACE_ME - GBP 3M/6M,TEMP_REPLACE_ME - 2Y,,3,,0.046115
ir/basis,TEMP_REPLACE_ME - GBP 3M/6M,TEMP_REPLACE_ME - 5Y,,4,,0.025267
ir/bond,TEMP_REPLACE_ME - UST,TEMP_REPLACE_ME - 2Y,,0,,0.054072
ir/bond,TEMP_REPLACE_ME - UST,TEMP_REPLACE_ME - 5Y,,1,,0.066007
ir/bond,TEMP_REPLACE_ME - UST,TEMP_REPLACE_ME - 10Y,,2,,0.061079
ir/bond,TEMP_REPLACE_ME - UST,TEMP_REPLACE_ME - 30Y,,3,,0.024537
ir/bond,TEMP_REPLACE_ME - Bund,TEMP_REPLACE_ME - 2Y,,0,,0.054385
ir/bond,TEMP_REPLACE_ME - Bund,TEMP_REPLACE_ME - 5Y,,1,,0.02122
ir/bond,TEMP_REPLACE_ME - Bund,TEMP_REPLACE_ME - 10Y,,2,,0.008744
ir/bond,TEMP_REPLACE_ME - Bund,TEMP_REPLACE_ME - 30Y,,3,,0.009218
ir/bond,TEMP_REPLACE_ME - Gilt,TEMP_REPLACE_ME - 2Y,,0,,0.02226
ir/bond,TEMP_REPLACE_ME - Gilt,TEMP_REPLACE_ME - 5Y,,1,,0.03993
ir/bond,TEMP_REPLACE_ME - Gilt,TEMP_REPLACE_ME - 10Y,,2,,0.036885
ir/bond,TEMP_REPLACE_ME - Gilt,TEMP_REPLACE_ME - 30Y,,3,,0.063779
credit/delta,TEMP_REPLACE_ME - CDX IG,TEMP_REPLACE_ME - 1Y,,0,,237.856
credit/delta,TEMP_REPLACE_ME - CDX IG,TEMP_REPLACE_ME - 3Y,,1,,219.96
credit/delta,TEMP_REPLACE_ME - CDX IG,TEMP_REPLACE_ME - 5Y,,2,,55.52
credit/delta,TEMP_REPLACE_ME - CDX IG,TEMP_REPLACE_ME - 7Y,,3,,257.72
credit/delta,TEMP_REPLACE_ME - CDX IG,TEMP_REPLACE_ME - 10Y,,4,,435
credit/delta,TEMP_REPLACE_ME - iTraxx Main,TEMP_REPLACE_ME - 1Y,,0,,194.492
credit/delta,TEMP_REPLACE_ME - iTraxx Main,TEMP_REPLACE_ME - 3Y,,1,,41.148
credit/delta,TEMP_REPLACE_ME - iTraxx Main,TEMP_REPLACE_ME - 5Y,,2,,323.5
credit/delta,TEMP_REPLACE_ME - iTraxx Main,TEMP_REPLACE_ME - 7Y,,3,,335.276
credit/delta,TEMP_REPLACE_ME - iTraxx Main,TEMP_REPLACE_ME - 10Y,,4,,375.028
credit/delta,TEMP_REPLACE_ME - Ford CDS,TEMP_REPLACE_ME - 1Y,,0,,97.688
credit/delta,TEMP_REPLACE_ME - Ford CDS,TEMP_REPLACE_ME - 3Y,,1,,253.128
credit/delta,TEMP_REPLACE_ME - Ford CDS,TEMP_REPLACE_ME - 5Y,,2,,413.988
credit/delta,TEMP_REPLACE_ME - Ford CDS,TEMP_REPLACE_ME - 7Y,,3,,345.34
credit/delta,TEMP_REPLACE_ME - Ford CDS,TEMP_REPLACE_ME - 10Y,,4,,356.14
credit/vega,TEMP_REPLACE_ME - CDX IG Vol,TEMP_REPLACE_ME - 1M,,0,,413.336
credit/vega,TEMP_REPLACE_ME - CDX IG Vol,TEMP_REPLACE_ME - 3M,,1,,336.696
credit/vega,TEMP_REPLACE_ME - CDX IG Vol,TEMP_REPLACE_ME - 6M,,2,,133.544
credit/vega,TEMP_REPLACE_ME - CDX IG Vol,TEMP_REPLACE_ME - 1Y,,3,,152.588
credit/vega,TEMP_REPLACE_ME - iTraxx Main Vol,TEMP_REPLACE_ME - 1M,,0,,243.336
credit/vega,TEMP_REPLACE_ME - iTraxx Main Vol,TEMP_REPLACE_ME - 3M,,1,,315.344
credit/vega,TEMP_REPLACE_ME - iTraxx Main Vol,TEMP_REPLACE_ME - 6M,,2,,384.456
credit/vega,TEMP_REPLACE_ME - iTraxx Main Vol,TEMP_REPLACE_ME - 1Y,,3,,364.356
credit/vega,TEMP_REPLACE_ME - Ford CDS Vol,TEMP_REPLACE_ME - 1M,,0,,185.684
credit/vega,TEMP_REPLACE_ME - Ford CDS Vol,TEMP_REPLACE_ME - 3M,,1,,317.892
credit/vega,TEMP_REPLACE_ME - Ford CDS Vol,TEMP_REPLACE_ME - 6M,,2,,333.416
credit/vega,TEMP_REPLACE_ME - Ford CDS Vol,TEMP_REPLACE_ME - 1Y,,3,,48.192
commo/delta,TEMP_REPLACE_ME - Brent,TEMP_REPLACE_ME - 1M,,0,,80.46625
commo/delta,TEMP_REPLACE_ME - Brent,TEMP_REPLACE_ME - 3M,,1,,66.97875
commo/delta,TEMP_REPLACE_ME - Brent,TEMP_REPLACE_ME - 6M,,2,,141.49875
commo/delta,TEMP_REPLACE_ME - Brent,TEMP_REPLACE_ME - 1Y,,3,,93.1875
commo/delta,TEMP_REPLACE_ME - Gold,TEMP_REPLACE_ME - 1M,,0,,31.5675
commo/delta,TEMP_REPLACE_ME - Gold,TEMP_REPLACE_ME - 3M,,1,,107.89625
commo/delta,TEMP_REPLACE_ME - Gold,TEMP_REPLACE_ME - 6M,,2,,67.45625
commo/delta,TEMP_REPLACE_ME - Gold,TEMP_REPLACE_ME - 1Y,,3,,104.7975
commo/delta,TEMP_REPLACE_ME - TTF Gas,TEMP_REPLACE_ME - 1M,,0,,121.1325
commo/delta,TEMP_REPLACE_ME - TTF Gas,TEMP_REPLACE_ME - 3M,,1,,57.04875
commo/delta,TEMP_REPLACE_ME - TTF Gas,TEMP_REPLACE_ME - 6M,,2,,124.4525
commo/delta,TEMP_REPLACE_ME - TTF Gas,TEMP_REPLACE_ME - 1Y,,3,,34.0525
commo/vega,TEMP_REPLACE_ME - Brent Vol,TEMP_REPLACE_ME - 1M,,0,,0.196001
commo/vega,TEMP_REPLACE_ME - Brent Vol,TEMP_REPLACE_ME - 3M,,1,,0.113873
commo/vega,TEMP_REPLACE_ME - Brent Vol,TEMP_REPLACE_ME - 6M,,2,,0.150038
commo/vega,TEMP_REPLACE_ME - Brent Vol,TEMP_REPLACE_ME - 1Y,,3,,0.056717
commo/vega,TEMP_REPLACE_ME - Gold Vol,TEMP_REPLACE_ME - 1M,,0,,0.122216
commo/vega,TEMP_REPLACE_ME - Gold Vol,TEMP_REPLACE_ME - 3M,,1,,0.275642
commo/vega,TEMP_REPLACE_ME - Gold Vol,TEMP_REPLACE_ME - 6M,,2,,0.248165
commo/vega,TEMP_REPLACE_ME - Gold Vol,TEMP_REPLACE_ME - 1Y,,3,,0.0689
commo/vega,TEMP_REPLACE_ME - TTF Gas Vol,TEMP_REPLACE_ME - 1M,,0,,0.19232
commo/vega,TEMP_REPLACE_ME - TTF Gas Vol,TEMP_REPLACE_ME - 3M,,1,,0.324167
commo/vega,TEMP_REPLACE_ME - TTF Gas Vol,TEMP_REPLACE_ME - 6M,,2,,0.340151
commo/vega,TEMP_REPLACE_ME - TTF Gas Vol,TEMP_REPLACE_ME - 1Y,,3,,0.283505
